id;Type of study;Gender;Age;Study Year;Finance;Housing;Sport;Age of first glass;Age drunk for the first time;have you ever drink alcool;Which kind of alcool do you drink most often;Frequency;When you drink, how many glasses;how often;when: family events;when:students party;when:bar-disco;when:home;when:sport or culture events;when:outside(beach, etc…);withwho:Alone;withwho:friends;withwho:family;why:fun pleasure;why:todo like everybody;why:for the effects;why:to get confidence;why:because i need it;due to alcool: Have you ever forgotten a part of your party;due to alcool: fallen, vomit, ethylic coma ;due to alcool: have non-protected sexual intercourse;due to alcool: being harrassed or stolen;due to alcool: have a car accident;after having drink: drive a car;due to alcool:been admitted to an ER;Do you agree: One cannot get drunk with cider;Do you agree: Drinking Champagne is safe;Do you agree: No danger in being drunk once a week;Do you agree: we have more fun without alcool;Study level;Frequency of being drunk;Frequency Alcool consumption;origin
1094;Foreign languages;Male;24;3;Average;Colocation;Yes;15;15;Yes;Cidre;2 a 4 fois par mois;2;1 fois par month or moins;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
1095;Autre;Female;21;3;Bad;Appartement seul;Yes;16;18;Yes;Vin;2 a 4 fois par mois;1;Jamais;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;Licence;once a month or -;4/month or -;France hors Bretagne
1096;Pharmacy;Male;23;3;Average;Appartement seul;Yes;14;15;Yes;Cocktail (vodka-orange, whisky coca, mojito);1 fois par month or moins;10;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;Licence;once a month or -;4/month or -;Bretagne
1097;Pharmacy;Female;21;3;Good;Appartement seul;Yes;14;16;Yes;Vin;2 a 4 fois par mois;2;1 fois par month or moins;No;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
1098;Arts and communication;Female;20;2;Good;Appartement seul;Yes;13;13;Yes;Vin;2 a 3 fois par semaine;30;2 a 3 fois par semaine;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;No;Licence;15 days or +;2/week or +;France hors Bretagne
1099;Human sciences;Female;18;1;Good;Appartement en couple;Yes;16;16;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;10;2 a 4 fois par mois;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;Bretagne
1100;Human sciences;Male;21;3;Good;Cite Universitaire;Yes;11;;Yes;Champagne;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;France hors Bretagne
1101;Arts and communication;Female;18;1;Average;Cite Universitaire;Yes;15;;Yes;Biere;2 a 4 fois par mois;3;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;;No;Yes;No;No;Licence;15 days or +;4/month or -;Bretagne
1102;Human sciences;Male;18;1;Average;Colocation;No;10;14;Yes;Vin;2 a 4 fois par mois;0;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;;No;No;No;No;Licence;15 days or +;4/month or -;France hors Bretagne
1103;Medical school;Male;20;1;Good;Domicile parental;No;5;16;Yes;Biere;1 fois par month or moins;0;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
1104;Foreign languages;Male;20;1;Average;Domicile parental;No;15;15;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 3 fois par semaine;10;2 a 3 fois par semaine;No;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;15 days or +;2/week or +;Bretagne
1105;Pharmacy;Female;23;5;Good;Colocation;Yes;12;15;Yes;Biere;2 a 4 fois par mois;3;1 fois par month or moins;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;ne se proNoce pas;Master;once a month or -;4/month or -;Bretagne
1106;Arts and communication;Female;19;2;Good;Domicile parental;Yes;13;17;Yes;Biere;2 a 4 fois par mois;2;2 a 4 fois par mois;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;Bretagne
1107;Arts and communication;Female;23;4;Good;Colocation;Yes;14;14;Yes;;2 a 3 fois par semaine;5;2 a 4 fois par mois;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;Master;15 days or +;2/week or +;France hors Bretagne
1108;Arts and communication;Male;20;1;Bad;Colocation;Yes;12;12;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;No;No;No;Yes;No;No;No;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;Licence;once a month or -;4/month or -;France hors Bretagne
1109;Medical school;Female;24;4;Good;Colocation;Yes;17;19;Yes;Vin;1 fois par month or moins;1;1 fois par month or moins;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Master;once a month or -;4/month or -;Bretagne
1110;Autre;Male;27;8;Good;Appartement en couple;Yes;21;21;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Doctorat;once a month or -;4/month or -;France hors Bretagne
1111;Human sciences;Female;23;5;Bad;Appartement seul;No;15;18;Yes;Biere;2 a 4 fois par mois;1;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;;No;No;No;No;Master;once a month or -;4/month or -;Bretagne
1112;Foreign languages;Female;19;1;Average;Cite Universitaire;Yes;15;18;Yes;;2 a 4 fois par mois;1;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
1113;Medical school;Male;21;4;Good;Appartement seul;Yes;16;17;Yes;Cocktail (vodka-orange, whisky coca, mojito);1 fois par month or moins;0;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Master;once a month or -;4/month or -;Bretagne
1114;Arts and communication;Male;18;1;Good;Domicile parental;No;10;16;Yes;Biere;2 a 3 fois par semaine;17;2 a 3 fois par semaine;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;Licence;15 days or +;2/week or +;Bretagne
1115;Arts and communication;Female;21;1;Average;Domicile parental;No;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;Yes;Licence;;;Brittany
1116;Pharmacy;Female;20;2;Good;Appartement en couple;Yes;16;19;Yes;Vin;2 a 4 fois par mois;0;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
1117;Foreign languages;Male;21;2;Good;Appartement seul;Yes;14;15;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;0;2 a 4 fois par mois;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;;No;No;No;No;Licence;15 days or +;4/month or -;Bretagne
1118;Medical school;Female;20;2;Good;Domicile parental;Yes;15;15;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;2;1 fois par month or moins;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
1119;Medical school;Male;18;1;Good;Domicile parental;No;;;Yes;Cidre;2 a 4 fois par mois;1;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;ne se proNoce pas;No;No;;Licence;once a month or -;4/month or -;Bretagne
1120;Foreign languages;Female;20;2;Good;Appartement seul;Yes;15;18;Yes;Wine;2 to 4 times per month;1;2 to 4 times per month;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;15 days or +;4/month or -;Brittany
1121;Autre;Female;25;6;Good;Appartement en couple;Yes;16;16;Yes;Vin;2 a 4 fois par mois;1;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Doctorat;once a month or -;4/month or -;France hors Bretagne
1122;Medical school;Female;22;5;Good;Colocation;Yes;12;14;Yes;Biere;Au moins 4 fois par semaine;5;2 a 4 fois par mois;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;ne se proNoce pas;Master;15 days or +;2/week or +;Bretagne
1123;Foreign languages;Male;22;2;Good;Appartement en couple;No;15;17;Yes;Beer;2 to 3 times per week;4;2 to 4 times per month;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;;Licence;15 days or +;2/week or +;France not Brittany
1124;Human sciences;Female;22;4;Good;Appartement seul;Yes;12;12;Yes;Biere;1 fois par month or moins;3;1 fois par month or moins;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;Master;once a month or -;4/month or -;Bretagne
1125;Arts and communication;Male;19;1;Bad;Colocation;No;2;12;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;No;No;No;Yes;No;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;France hors Bretagne
1126;Social Sciences;Female;22;2;Good;Appartement en couple;No;17;17;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
1127;Medical school;Female;18;1;Average;Domicile parental;Yes;14;16;Yes;Vin;1 fois par month or moins;0;1 fois par month or moins;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
1128;Arts and communication;Female;20;3;Good;Domicile parental;Yes;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;Licence;;;Brittany
1129;Arts and communication;Male;21;3;Average;Domicile parental;Yes;12;15;Yes;Biere;2 a 3 fois par semaine;5;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;;No;No;No;Yes;Licence;once a month or -;2/week or +;Bretagne
1130;Medical school;Female;17;1;Good;Appartement seul;No;11;15;Yes;Alcool fort (vodka, pastis, whisky, liqueur);1 fois par month or moins;0;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
1131;Foreign languages;Female;18;1;Good;Cite Universitaire;No;17;17;Yes;Alcool fort (vodka, pastis, whisky, liqueur);1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;France hors Bretagne
1132;Human sciences;Female;21;2;Average;Cite Universitaire;No;17;19;Yes;Vin;2 a 4 fois par mois;8;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;ne se proNoce pas;Licence;15 days or +;4/month or -;France hors Bretagne
1133;Medical school;Female;20;3;Good;Colocation;Yes;11;18;Yes;Biere;1 fois par month or moins;2;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
1134;Social Sciences;Female;20;2;Good;Domicile parental;Yes;11;17;Yes;Biere;2 a 4 fois par mois;1;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;Yes;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
1135;Arts and communication;Male;20;2;Average;Appartement seul;No;12;12;Yes;Wine;2 to 3 times per week;10;2 to 4 times per month;No;No;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;Licence;15 days or +;2/week or +;Brittany
1136;Pharmacy;Male;22;4;Good;Colocation;Yes;12;14;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 3 fois par semaine;20;2 a 3 fois par semaine;Yes;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;Yes;No;No;No;No;No;Master;15 days or +;2/week or +;Bretagne
1137;Foreign languages;Female;22;1;Bad;Chambre chez l_habitant;Yes;14;17;Yes;Biere;2 a 4 fois par mois;2;Jamais;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Licence;once a month or -;4/month or -;Etranger
1138;Social Sciences;Female;18;1;Good;Appartement seul;Yes;11;17;Yes;Wine;1 time per month or less;4;1 time per month or less;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;No;Yes;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Brittany
1139;Social Sciences;Female;20;2;Average;Domicile parental;No;15;;Yes;Cocktail (vodka-orange, whisky coca, mojito);1 fois par month or moins;2;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
1140;Foreign languages;Male;19;2;Average;Domicile parental;No;16;;Yes;Biere;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
1141;Medical school;Male;20;1;Good;Domicile parental;Yes;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;No;Yes;Licence;;;Bretagne
1142;Foreign languages;Female;20;2;Good;Appartement seul;No;13;13;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;0;2 a 4 fois par mois;Yes;Yes;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;Yes;;No;No;Yes;No;Licence;15 days or +;4/month or -;France hors Bretagne
1143;Arts and communication;Male;22;4;Average;Domicile parental;No;12;15;Yes;Biere;2 a 4 fois par mois;10;2 a 4 fois par mois;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;Master;15 days or +;4/month or -;Bretagne
1144;Social Sciences;Female;22;3;Average;Colocation;No;16;17;Yes;Vin;2 a 4 fois par mois;5;2 a 4 fois par mois;No;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;France hors Bretagne
1145;Foreign languages;Female;20;1;Good;Domicile parental;No;14;15;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;1;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
1146;Foreign languages;Male;24;2;Average;Colocation;Yes;16;16;Yes;Biere;2 a 3 fois par semaine;5;1 fois par month or moins;Yes;Yes;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;No;Yes;No;;No;No;Yes;No;Licence;once a month or -;2/week or +;Bretagne
1147;Medical school;Female;18;1;Good;Domicile parental;No;16;;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;No;Yes;Licence;;;Bretagne
1148;Arts and communication;Female;20;2;Good;Domicile parental;No;15;;Yes;Cidre;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;No;No;Licence;once a month or -;4/month or -;Bretagne
1149;Human sciences;Female;19;2;Good;Colocation;No;15;16;Yes;Cidre;2 a 4 fois par mois;1;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;No;No;No;No;ne se proNoce pas;No;Licence;once a month or -;4/month or -;France hors Bretagne
1150;Foreign languages;Female;35;5;Average;Colocation;Yes;15;15;Yes;Biere;2 a 4 fois par mois;2;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Master;once a month or -;4/month or -;Etranger
1151;Foreign languages;Female;20;2;Bad;Appartement seul;No;16;16;Yes;Vin;2 a 4 fois par mois;0;2 a 4 fois par mois;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;Yes;No;Yes;No;Yes;Yes;No;Yes;No;No;No;No;No;Licence;15 days or +;4/month or -;France hors Bretagne
1152;Medical school;Male;18;2;Good;Domicile parental;Yes;13;15;Yes;Alcool fort (vodka, pastis, whisky, liqueur);1 fois par month or moins;1;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
1153;Human sciences;Female;20;2;Good;Colocation;No;14;15;Yes;Vin;2 a 4 fois par mois;4;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
1154;Human sciences;Male;20;1;Average;Colocation;No;12;13;Yes;Biere;2 a 3 fois par semaine;7;2 a 4 fois par mois;No;Yes;No;Yes;Yes;No;No;Yes;No;Yes;No;Yes;Yes;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;Licence;15 days or +;2/week or +;Bretagne
1155;Medical school;Male;20;1;Good;Domicile parental;No;15;;Yes;Biere;1 fois par month or moins;7;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
1156;Arts and communication;Female;20;1;;Colocation;No;17;19;Yes;Biere;2 a 3 fois par semaine;5;2 a 4 fois par mois;No;No;Yes;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;Yes;Licence;15 days or +;2/week or +;France hors Bretagne
1157;Medical school;Male;18;1;Average;Colocation;Yes;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;No;ne se proNoce pas;Licence;;;Bretagne
1158;Arts and communication;Female;18;1;Good;Appartement seul;Yes;15;17;Yes;Biere;2 a 3 fois par semaine;12;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;2/week or +;France hors Bretagne
1159;Social Sciences;Male;22;3;Good;Appartement seul;Yes;10;17;Yes;Biere;2 a 4 fois par mois;1;1 fois par month or moins;No;Yes;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
1160;Foreign languages;Male;18;1;Good;Cite Universitaire;Yes;16;17;Yes;Biere;2 a 4 fois par mois;3;Jamais;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
1161;Social Sciences;Female;21;3;Good;Colocation;No;15;15;Yes;Biere;2 a 4 fois par mois;5;2 a 4 fois par mois;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;No;Yes;Yes;No;Yes;No;No;No;Licence;15 days or +;4/month or -;Bretagne
1162;Foreign languages;Female;18;1;Good;Domicile parental;Yes;8;16;Yes;Vin;1 fois par month or moins;0;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
1163;Arts and communication;Female;22;5;Average;Appartement seul;Yes;10;14;Yes;Autre alcool;Au moins 4 fois par semaine;15;2 a 3 fois par semaine;No;No;Yes;No;Yes;Yes;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;Yes;No;No;No;No;Yes;Master;15 days or +;2/week or +;France hors Bretagne
1164;Medical school;Male;18;1;Good;Colocation;Yes;12;;Yes;Champagne;1 fois par month or moins;0;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Ne veut pas repondre;Ne veut pas repondre;Ne veut pas repondre;Ne veut pas repondre;Ne veut pas repondre;No;No;Yes;No;No;No;Licence;once a month or -;4/month or -;Bretagne
1165;Foreign languages;Male;20;2;Good;Appartement seul;No;15;16;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;France hors Bretagne
1166;Odontology;Male;19;2;Good;Foyer;Yes;14;16;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 3 fois par semaine;10;2 a 4 fois par mois;No;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;Licence;15 days or +;2/week or +;Bretagne
1167;Arts and communication;Female;20;2;Good;Appartement en couple;No;9;;Yes;Alcool fort (vodka, pastis, whisky, liqueur);1 fois par month or moins;0;1 fois par month or moins;Yes;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
1168;Medical school;Male;22;3;Good;Domicile parental;Yes;14;15;Yes;Biere;2 a 4 fois par mois;10;2 a 4 fois par mois;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;No;Yes;No;No;No;No;No;ne se proNoce pas;No;Licence;15 days or +;4/month or -;Bretagne
1169;Social Sciences;Female;21;4;Good;Domicile parental;No;16;17;Yes;Vin;2 a 4 fois par mois;3;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Master;once a month or -;4/month or -;Bretagne
1170;Pharmacy;Female;20;2;Good;Domicile parental;Yes;16;17;Yes;Biere;2 a 4 fois par mois;0;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;Bretagne
1171;Medical school;Female;22;3;Good;Appartement seul;Yes;10;;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 to 4 times per month;1;Never;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;;Licence;once a month or -;4/month or -;Brittany
1172;Foreign languages;Male;20;3;Average;Domicile parental;No;15;;Yes;Biere;2 a 4 fois par mois;1;1 fois par month or moins;Yes;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
1173;Medical school;;19;1;Good;Domicile parental;No;15;;Yes;Cidre;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Licence;once a month or -;4/month or -;Bretagne
1174;Foreign languages;Female;20;1;Bad;Colocation;Yes;15;16;Yes;Vin;2 a 3 fois par semaine;5;2 a 4 fois par mois;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;ne se proNoce pas;Yes;Licence;15 days or +;2/week or +;Bretagne
1175;Arts and communication;Female;22;3;Average;Colocation;No;15;15;Yes;Beer;2 to 3 times per week;3;1 time per month or less;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;;Licence;once a month or -;2/week or +;France not Brittany
1176;Medical school;Female;21;3;Good;Colocation;Yes;16;;Yes;Cidre;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
1177;Arts and communication;Male;21;2;Good;Appartement seul;No;17;17;Yes;Biere;2 a 3 fois par semaine;5;2 a 4 fois par mois;No;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;Yes;No;No;Yes;Licence;15 days or +;2/week or +;France hors Bretagne
1178;Social Sciences;;22;3;Good;Appartement seul;No;14;16;Yes;Biere;2 a 3 fois par semaine;3;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;;No;No;No;No;Licence;once a month or -;2/week or +;France hors Bretagne
1179;Medical school;Female;20;1;Good;Appartement seul;No;15;15;Yes;Biere;2 a 4 fois par mois;1;1 fois par month or moins;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;Yes;No;Licence;once a month or -;4/month or -;Bretagne
1180;Foreign languages;Male;19;1;Good;Colocation;Yes;15;15;Yes;Biere;2 a 3 fois par semaine;4;1 fois par month or moins;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;ne se proNoce pas;No;No;Licence;once a month or -;2/week or +;Bretagne
1181;Human sciences;Female;22;4;Good;Appartement seul;No;12;16;Yes;Biere;2 a 3 fois par semaine;2;2 a 4 fois par mois;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;;No;No;No;ne se proNoce pas;Master;15 days or +;2/week or +;Bretagne
1182;Arts and communication;Female;27;5;Average;Appartement seul;Yes;11;13;Yes;Biere;2 a 4 fois par mois;1;1 fois par month or moins;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;Yes;Master;once a month or -;4/month or -;Bretagne
